"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 10 20:32:38 GMT 2022","Thu Nov 10 20:32:46 GMT 2022","7612","chromium","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website without password with valid data on the Main page",""
"passed","Thu Nov 10 21:05:05 GMT 2022","Thu Nov 10 21:05:13 GMT 2022","7892","Microsoft Edge","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website without email with valid data on the Main page",""
"passed","Thu Nov 10 20:33:47 GMT 2022","Thu Nov 10 20:33:53 GMT 2022","5686","firefox","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the ""Programmable Wireless Reporting and Analytics"" support article from the Main page",""
"passed","Thu Nov 10 20:31:39 GMT 2022","Thu Nov 10 20:31:50 GMT 2022","11060","chromium","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the ""Programmable Wireless Reporting and Analytics"" support article from the Main page",""
"passed","Thu Nov 10 21:01:21 GMT 2022","Thu Nov 10 21:01:38 GMT 2022","16961","Microsoft Edge","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Go to the MS Teams integrations page in the marketplace from the Main page",""
"passed","Thu Nov 10 20:32:57 GMT 2022","Thu Nov 10 20:33:06 GMT 2022","9129","firefox","become.telnyx.spec.ts","Become to a cooperation with Telnyx team","","","Go to the Integrations page from main page and become a Beta Tester by filling in the all fields with random valid data",""
"passed","Thu Nov 10 20:32:20 GMT 2022","Thu Nov 10 20:32:31 GMT 2022","10268","chromium","sign.up.in.spec.ts","Sign up, sign in and forgot password cases","","","Login in the Telnyx website with blocked account with valid data on the Main page",""
"passed","Thu Nov 10 20:36:08 GMT 2022","Thu Nov 10 20:36:14 GMT 2022","6361","firefox","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for ""Elastic SIP Trunking"" service",""
"passed","Thu Nov 10 20:33:32 GMT 2022","Thu Nov 10 20:33:40 GMT 2022","7798","firefox","download.pricing.spec.ts","Download and send pricing CSV file to the email from pricing pages","","","Download SMS pricing CSV file from the Messaging pricing page ",""
"passed","Thu Nov 10 21:01:37 GMT 2022","Thu Nov 10 21:01:47 GMT 2022","10641","Microsoft Edge","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for the ""Messaging API"" service",""
"passed","Thu Nov 10 20:47:58 GMT 2022","Thu Nov 10 20:48:24 GMT 2022","26176","webkit","open.articles.pages.spec.ts","Open additional pages in the Telnyx website","","","Search random existing article on the Blog page",""
"passed","Thu Nov 10 20:36:03 GMT 2022","Thu Nov 10 20:36:08 GMT 2022","5516","firefox","saving.calc.spec.ts","Using the saving calculator on the Saving Calculator page","","","Use saving calculator for the ""Messaging API"" service",""
